symbol,strategy_name,trades,profitable_trades,loss_trades,sharpe_ratio,average_profit,average_trade_days,average_percent_profit,median_percent_profit,percent_wins,last_sale_date,last_sell_date_diff,table_name,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update
IETC,ALGO_ADX_28,5,5,0,1.455707742919052851170192544,1.2650,8.0000,2.4388,1.6194258891496633,1.0,2023-11-08 20:00:00+00:00,9,ADX_28_P1.5_L1.5_AVR_1H_STOCK_RESULTS,"[2023-10-27T20:00:00+00:00, 2023-10-30T21:00:00+00:00, 2023-10-31T18:00:00+00:00, 2023-11-02T15:00:00+00:00, 2023-11-03T18:00:00+00:00]","[2023-10-30T20:00:00+00:00, 2023-10-31T17:00:00+00:00, 2023-11-01T20:00:00+00:00, 2023-11-03T17:00:00+00:00, 2023-11-08T20:00:00+00:00]","[5.0, 2.0, 6.0, 7.0, 20.0]","[0.7259999999999991, 2.8699999999999974, 0.7920000000000016, 1.0399999999999991, 0.8969999999999985]","[1.4049618763788347, 5.752655842854274, 1.5005399670335948, 1.916344204901417, 1.6194258891496633]",2023-11-14 06:50:48
SWN,ALGO_ADX_28,5,5,0,1.278788764748751234835284471,0.1612,5.0000,2.3625,1.29427792915531,1.0,2023-10-18 16:00:00+00:00,30,ADX_28_P1.5_L1.5_AVR_1H_STOCK_RESULTS,"[2023-10-12T15:00:00+00:00, 2023-10-12T18:00:00+00:00, 2023-10-13T17:00:00+00:00, 2023-10-17T17:00:00+00:00, 2023-10-17T20:00:00+00:00]","[2023-10-12T17:00:00+00:00, 2023-10-13T16:00:00+00:00, 2023-10-17T16:00:00+00:00, 2023-10-17T19:00:00+00:00, 2023-10-18T16:00:00+00:00]","[2.0, 5.0, 13.0, 2.0, 3.0]","[0.05000000000000071, 0.17599999999999927, 0.08499999999999996, 0.40000000000000036, 0.09499999999999975]","[0.7668711656441827, 2.6874331959077606, 1.2583271650629158, 5.80551523947751, 1.29427792915531]",2023-11-14 07:12:40
NSP,ALGO_ADX_28,6,5,1,0.6872176601037460301048131371,2.2095,11.0000,2.2554,1.4964814123941732,0.8333333333333334,2023-10-31 20:00:00+00:00,17,ADX_28_P1.5_L1.5_AVR_1H_STOCK_RESULTS,"[2023-10-03T16:00:00+00:00, 2023-10-04T17:00:00+00:00, 2023-10-09T17:00:00+00:00, 2023-10-23T18:00:00+00:00, 2023-10-30T17:00:00+00:00, 2023-10-31T17:00:00+00:00]","[2023-10-04T16:00:00+00:00, 2023-10-09T16:00:00+00:00, 2023-10-16T16:00:00+00:00, 2023-10-24T16:00:00+00:00, 2023-10-31T16:00:00+00:00, 2023-10-31T20:00:00+00:00]","[6.0, 17.0, 31.0, 4.0, 5.0, 3.0]","[1.1550000000000011, 1.5400000000000063, 2.1650000000000063, -1.7909999999999968, 8.719999999999999, 1.4680000000000035]","[1.203501094091905, 1.5863205603625938, 2.1983043103010673, -1.8213991518442778, 8.959210931881227, 1.4066422644257524]",2023-11-14 07:00:31
WAB,ALGO_ADX_28,5,5,0,2.053688680810010152355701734,2.3340,7.4000,2.1783,1.7054547117187098,1.0,2023-11-13 15:00:00+00:00,4,ADX_28_P1.5_L1.5_AVR_1H_STOCK_RESULTS,"[2023-10-30T15:00:00+00:00, 2023-11-01T17:00:00+00:00, 2023-11-02T17:00:00+00:00, 2023-11-08T17:00:00+00:00, 2023-11-09T18:00:00+00:00, 2023-11-13T16:00:00+00:00]","[2023-10-31T16:00:00+00:00, 2023-11-02T16:00:00+00:00, 2023-11-03T16:00:00+00:00, 2023-11-09T17:00:00+00:00, 2023-11-13T15:00:00+00:00]","[7.0, 6.0, 6.0, 7.0, 11.0]","[1.519999999999996, 4.090000000000003, 3.0799999999999983, 1.8649999999999949, 1.1149999999999949]","[1.4484467314655958, 3.907518868825837, 2.8285425658921834, 1.7054547117187098, 1.001526991826098]",2023-11-14 07:18:33
STRA,ALGO_ADX_28,6,6,0,2.712687692253807647790971931,1.7267,10.5000,2.1740,2.009369270949953,1.0,2023-11-02 16:00:00+00:00,15,ADX_28_P1.5_L1.5_AVR_1H_STOCK_RESULTS,"[2023-09-29T20:00:00+00:00, 2023-10-04T17:00:00+00:00, 2023-10-06T17:00:00+00:00, 2023-10-25T20:00:00+00:00, 2023-10-30T17:00:00+00:00, 2023-11-01T15:00:00+00:00]","[2023-10-04T16:00:00+00:00, 2023-10-06T16:00:00+00:00, 2023-10-09T19:00:00+00:00, 2023-10-30T16:00:00+00:00, 2023-10-31T20:00:00+00:00, 2023-11-02T16:00:00+00:00]","[14.0, 11.0, 8.0, 14.0, 9.0, 7.0]","[1.7600000000000051, 1.5750000000000028, 1.0849999999999937, 1.5700000000000074, 1.2199999999999989, 3.1500000000000057]","[2.3388704318936946, 2.0424042015172184, 1.3811978868308747, 1.976334340382688, 1.5046867291563875, 3.8002171552660218]",2023-11-14 07:12:26
ALL,ALGO_ADX_28,8,8,0,1.621534335897504787765571985,2.5812,9.0000,2.1024,1.6463131010819043,1.0,2023-11-13 15:00:00+00:00,4,ADX_28_P1.5_L1.5_AVR_1H_STOCK_RESULTS,"[2023-10-10T15:00:00+00:00, 2023-10-11T16:00:00+00:00, 2023-10-13T17:00:00+00:00, 2023-10-27T16:00:00+00:00, 2023-10-30T21:00:00+00:00, 2023-10-31T17:00:00+00:00, 2023-11-01T17:00:00+00:00, 2023-11-07T19:00:00+00:00, 2023-11-13T16:00:00+00:00]","[2023-10-11T15:00:00+00:00, 2023-10-13T16:00:00+00:00, 2023-10-16T18:00:00+00:00, 2023-10-30T20:00:00+00:00, 2023-10-31T16:00:00+00:00, 2023-11-01T16:00:00+00:00, 2023-11-01T21:00:00+00:00, 2023-11-13T15:00:00+00:00]","[6.0, 13.0, 7.0, 11.0, 2.0, 5.0, 4.0, 24.0]","[0.8799999999999955, 4.8999999999999915, 2.3299999999999983, 1.980000000000004, 2.1200000000000045, 1.7499999999999858, 5.449999999999989, 1.2399999999999807]","[0.771320887019016, 4.287339224779063, 1.9361808210071452, 1.6029792746114022, 1.6896469275524066, 1.3680425265791007, 4.206869934388258, 0.9571593979158476]",2023-11-14 06:28:38
DHI,ALGO_ADX_28,7,6,1,1.028623174491643906438325123,2.2450,6.2857,2.0628,2.043410246382483,0.8571428571428571,2023-11-03 16:00:00+00:00,14,ADX_28_P1.5_L1.5_AVR_1H_STOCK_RESULTS,"[2023-10-11T16:00:00+00:00, 2023-10-12T15:00:00+00:00, 2023-10-26T18:00:00+00:00, 2023-10-31T17:00:00+00:00, 2023-11-01T17:00:00+00:00, 2023-11-01T21:00:00+00:00, 2023-11-02T17:00:00+00:00]","[2023-10-11T21:00:00+00:00, 2023-10-12T18:00:00+00:00, 2023-10-31T16:00:00+00:00, 2023-11-01T16:00:00+00:00, 2023-11-01T20:00:00+00:00, 2023-11-02T16:00:00+00:00, 2023-11-03T16:00:00+00:00]","[5.0, 3.0, 19.0, 6.0, 3.0, 2.0, 6.0]","[1.230000000000004, -2.1000000000000085, 2.0900000000000034, 3.489999999999995, 2.0799999999999983, 5.199999999999989, 3.7249999999999943]","[1.1413194766632682, -2.0180665000961064, 2.043410246382483, 3.3393933594871257, 1.9388516032811318, 4.753199268738563, 3.2413853115210527]",2023-11-14 06:39:10
HIE,ALGO_ADX_28,6,6,0,2.065828113722814677873435031,0.1853,7.0000,1.8973,1.960024284432696,1.0,2023-11-10 18:00:00+00:00,7,ADX_28_P1.5_L1.5_AVR_1H_STOCK_RESULTS,"[2023-10-09T17:00:00+00:00, 2023-10-10T18:00:00+00:00, 2023-11-01T15:00:00+00:00, 2023-11-02T19:00:00+00:00, 2023-11-09T20:00:00+00:00, 2023-11-10T17:00:00+00:00, 2023-11-10T19:00:00+00:00]","[2023-10-10T17:00:00+00:00, 2023-10-17T16:00:00+00:00, 2023-11-02T18:00:00+00:00, 2023-11-03T16:00:00+00:00, 2023-11-10T16:00:00+00:00, 2023-11-10T18:00:00+00:00]","[6.0, 22.0, 7.0, 3.0, 3.0, 1.0]","[0.13000000000000078, 0.16300000000000026, 0.32200000000000095, 0.22499999999999964, 0.23000000000000043, 0.041999999999999815]","[1.3402061855670184, 1.6598778004073345, 3.3506763787721225, 2.2601707684580576, 2.3493360572012305, 0.4233870967741917]",2023-11-14 06:48:41
DTB,ALGO_ADX_28,6,5,1,1.034113090340968445903197734,0.3372,7.5000,1.8669,2.6951521800967138,0.8333333333333334,2023-11-03 16:00:00+00:00,14,ADX_28_P1.5_L1.5_AVR_1H_STOCK_RESULTS,"[2023-10-23T19:00:00+00:00, 2023-10-24T17:00:00+00:00, 2023-10-27T20:00:00+00:00, 2023-11-01T17:00:00+00:00, 2023-11-02T17:00:00+00:00, 2023-11-02T20:00:00+00:00]","[2023-10-24T16:00:00+00:00, 2023-10-27T18:00:00+00:00, 2023-11-01T16:00:00+00:00, 2023-11-02T16:00:00+00:00, 2023-11-02T19:00:00+00:00, 2023-11-03T16:00:00+00:00]","[3.0, 19.0, 14.0, 5.0, 2.0, 2.0]","[0.4450000000000003, -0.23000000000000043, 0.5169999999999995, 0.7049999999999983, 0.05099999999999838, 0.5350000000000001]","[2.5641025641025657, -1.30164119977363, 2.962750716332375, 3.882158590308361, 0.26759011490633494, 2.826201796090862]",2023-11-14 06:40:00
DUST,ALGO_ADX_28,8,7,1,1.124007213947060477259063036,0.2131,3.0000,1.6366,1.4994381851863046,0.875,2023-11-08 19:00:00+00:00,9,ADX_28_P1.5_L1.5_AVR_1H_STOCK_RESULTS,"[2023-09-25T20:00:00+00:00, 2023-10-30T16:00:00+00:00, 2023-10-30T21:00:00+00:00, 2023-10-31T17:00:00+00:00, 2023-10-31T19:00:00+00:00, 2023-11-07T15:00:00+00:00, 2023-11-07T17:00:00+00:00, 2023-11-08T17:00:00+00:00]","[2023-09-26T16:00:00+00:00, 2023-10-30T20:00:00+00:00, 2023-10-31T16:00:00+00:00, 2023-10-31T18:00:00+00:00, 2023-11-01T17:00:00+00:00, 2023-11-07T16:00:00+00:00, 2023-11-08T16:00:00+00:00, 2023-11-08T19:00:00+00:00]","[3.0, 4.0, 2.0, 1.0, 5.0, 1.0, 6.0, 2.0]","[0.5199999999999996, 0.17999999999999972, 0.3500000000000014, 0.1899999999999995, 0.10999999999999943, -0.16999999999999993, 0.3149999999999995, 0.20999999999999908]","[3.975535168195715, 1.4285714285714262, 2.738654147104863, 1.4328808446455468, 0.8166295471417923, -1.2957317073170727, 2.4305555555555514, 1.5659955257270624]",2023-11-14 06:40:16
